Literature_PID;Dataset_PID;DataCite_RelationType_of_Dataset_PID_record;Scholix_link_available
10.1016/s0550-3213(96)00675-x;10.17182/hepdata.44710.v1/t31;IsSupplementTo;False
10.1140/epjc/s10052-019-7371-6;10.17182/hepdata.89225.v1/t28;IsSupplementTo;False
10.1140/epjc/s10052-019-7371-6;10.17182/hepdata.89225.v1/t42;IsSupplementTo;False
10.1016/j.nuclphysb.2007.03.045;10.17182/hepdata.45630.v1;IsSupplementTo;False
10.1140/epjc/s10052-012-2164-1;10.17182/hepdata.59366.v1/t64;IsSupplementTo;False
10.1016/s0550-3213(97)00585-3;10.17182/hepdata.44587.v1/t22;IsSupplementTo;False
10.1140/epjc/s2006-02493-x;10.17182/hepdata.11377.v1/t2;IsSupplementTo;False
10.1140/epjc/s2006-02493-x;10.17182/hepdata.11377.v1/t41;IsSupplementTo;False
10.1140/epjc/s2006-02493-x;10.17182/hepdata.11377.v1/t44;IsSupplementTo;False
10.1140/epjc/s2006-02493-x;10.17182/hepdata.11377.v1/t7;IsSupplementTo;False
10.1016/0370-2693(82)90117-4;10.17182/hepdata.30892.v1/t13;IsSupplementTo;False
10.1007/bf01577559;10.17182/hepdata.2111.v1;IsSupplementTo;False
10.1016/j.nuclphysb.2006.05.016;10.17182/hepdata.11818.v1/t20;IsSupplementTo;False
10.1016/j.nuclphysb.2006.05.016;10.17182/hepdata.11818.v1/t6;IsSupplementTo;False
10.1016/j.nuclphysb.2006.05.016;10.17182/hepdata.11818.v1/t69;IsSupplementTo;False
10.1007/jhep06(2012)160;10.17182/hepdata.70063.v1/t11;IsSupplementTo;False
10.1088/1126-6708/2009/06/074;10.17182/hepdata.53754.v1/t11;IsSupplementTo;False
10.1088/1367-2630/13/5/053033;10.17182/hepdata.57077.v1/t36;IsSupplementTo;False
10.1016/0370-2693(83)91542-3;10.17182/hepdata.30634.v1;IsSupplementTo;False
10.1007/jhep03(2012)020;10.17182/hepdata.62425.v1/t3;IsSupplementTo;False
10.1140/epjc/s10052-006-0035-3;10.17182/hepdata.45892.v1/t10;IsSupplementTo;False
10.1140/epjc/s10052-006-0035-3;10.17182/hepdata.45892.v1/t12;IsSupplementTo;False
10.1103/physrevlett.108.261804;10.17182/hepdata.58756.v1/t8;IsSupplementTo;False
10.2138/am-2022-8186;10.25505/fiz.icsd.cc22mtxg;IsSupplementTo;False
10.1103/physrevd.90.072002;10.17182/hepdata.64778.v1/t2;IsSupplementTo;False
10.1103/physrevd.90.072002;10.17182/hepdata.64778.v1/t36;IsSupplementTo;False
10.1103/physrevd.90.072002;10.17182/hepdata.64778.v1/t73;IsSupplementTo;False
10.1039/c2ce25359c;10.5517/ccxwsbw;IsSupplementTo;False
10.1016/j.physletb.2011.03.060;10.17182/hepdata.63817.v1/t4;IsSupplementTo;False
10.1140/epjc/s10052-016-4126-5;10.17182/hepdata.72257.v1;IsSupplementTo;False
10.1007/bf01674451;10.17182/hepdata.15283.v1/t7;IsSupplementTo;False
10.1016/0550-3213(76)90496-x;10.17182/hepdata.37294.v1/t6;IsSupplementTo;False
10.1103/physrevd.93.052007;10.17182/hepdata.70879.v1/t98;IsSupplementTo;False
10.1103/physrevlett.116.052002;10.17182/hepdata.69538.v1/t1;IsSupplementTo;False
10.1103/physrevlett.106.201804;10.17182/hepdata.57092.v1;IsSupplementTo;False
10.1103/physrevlett.106.201804;10.17182/hepdata.57092.v1/t3;IsSupplementTo;False
10.1140/epjc/s2005-02346-2;10.17182/hepdata.46122.v1/t10;IsSupplementTo;False
10.1039/c0dt00924e;10.25505/fiz.icsd.ccvsqr2;IsSupplementTo;False
10.1140/epjc/s10052-010-1512-2;10.17182/hepdata.56004.v1/t13;IsSupplementTo;False
10.1016/s0370-2693(96)01684-x;10.17182/hepdata.44694.v1/t2;IsSupplementTo;False
10.1016/s0550-3213(99)00118-2;10.17182/hepdata.32577.v1/t4;IsSupplementTo;False
10.1017/aog.2023.47;10.1594/pangaea.960152;IsSupplementTo;False
10.1007/jhep05(2010)032;10.17182/hepdata.56191.v1/t101;IsSupplementTo;False
10.1007/jhep05(2010)032;10.17182/hepdata.56191.v1/t45;IsSupplementTo;False
10.1103/physrevd.88.112009;10.17182/hepdata.65267.v1/t1;IsSupplementTo;False
10.1103/physrevd.88.112009;10.17182/hepdata.65267.v1/t5;IsSupplementTo;False
10.1016/j.physletb.2011.10.018;10.17182/hepdata.57718.v1/t1;IsSupplementTo;False
10.1103/physrevc.87.014902;10.17182/hepdata.58994.v1/t70;IsSupplementTo;False
10.1016/j.physletb.2006.05.006;10.17182/hepdata.48674.v1/t3;IsSupplementTo;False
10.1016/s0370-2693(99)01195-8;10.17182/hepdata.35044.v1/t3;IsSupplementTo;False
10.1007/jhep08(2016)159;10.17182/hepdata.76986.v1/t1;IsSupplementTo;False
10.1103/physrevlett.110.081802;10.17182/hepdata.60126.v1/t27;IsSupplementTo;False
10.1103/physrevlett.110.081802;10.17182/hepdata.60126.v1/t65;IsSupplementTo;False
10.1016/j.physletb.2009.10.050;10.17182/hepdata.53740.v1/t13;IsSupplementTo;False
10.1016/j.physletb.2009.10.050;10.17182/hepdata.53740.v1/t39;IsSupplementTo;False
10.1186/s12983-017-0238-5;10.6084/m9.figshare.c.3917365_d9;IsSupplementTo;False
10.1016/j.physletb.2009.10.035;10.17182/hepdata.54512.v1/t7;IsSupplementTo;False
10.1140/epjc/s10052-015-3518-2;10.17182/hepdata.67921.v1/t60;IsSupplementTo;False
10.1007/bf01559431;10.17182/hepdata.1432.v1/t71;IsSupplementTo;False
10.1016/j.epsl.2010.10.028;10.1594/pangaea.786478;IsSupplementTo;False
10.1007/s100520000287;10.17182/hepdata.43951.v1/t29;IsSupplementTo;False
10.1007/s002880050281;10.17182/hepdata.44713.v1/t4;IsSupplementTo;False
10.1007/s100520100622;10.17182/hepdata.46947.v1/t2;IsSupplementTo;False
10.1016/0550-3213(85)90635-2;10.17182/hepdata.13244;IsSupplementTo;False
10.1016/0550-3213(85)90635-2;10.17182/hepdata.13244.v1/t69;IsSupplementTo;False
10.1016/0550-3213(85)90635-2;10.17182/hepdata.13244.v1/t83;IsSupplementTo;False
10.1140/epjc/s10052-016-4095-8;10.17182/hepdata.72792.v1/t16;IsSupplementTo;False
10.1038/nature06763;10.1594/pangaea.695995;IsSupplementTo;False
10.1016/j.quascirev.2019.01.016;10.1594/pangaea.899276;IsSupplementTo;False
10.1186/1754-0410-1-6;10.17182/hepdata.54963.v1/t27;IsSupplementTo;False
10.1016/s0370-2693(97)00847-2;10.17182/hepdata.44585.v1/t9;IsSupplementTo;False
10.1007/jhep08(2011)086;10.17182/hepdata.57523;IsSupplementTo;False
10.1016/0370-2693(95)00403-8;10.17182/hepdata.44897;IsSupplementTo;False
10.1007/bf02721349;10.17182/hepdata.1060.v1/t6;IsSupplementTo;False
10.1007/s100529900244;10.17182/hepdata.43895.v1/t22;IsSupplementTo;False
10.1007/s100529900244;10.17182/hepdata.43895.v1/t4;IsSupplementTo;False
10.1140/epjc/s10052-011-1575-8;10.17182/hepdata.57532.v1/t5;IsSupplementTo;False
10.1007/s002880050314;10.17182/hepdata.44700.v1/t2;IsSupplementTo;False
10.1007/jhep12(2019)060;10.17182/hepdata.89408.v3/t16;IsSupplementTo;False
10.1007/jhep12(2015)105;10.17182/hepdata.18620.v1/t33;IsSupplementTo;False
10.1007/s100520050124;10.17182/hepdata.44430.v1/t3;IsSupplementTo;False
10.1007/bf01549686;10.17182/hepdata.15433.v1;IsSupplementTo;False
10.1140/epjc/s10052-012-1926-0;10.17182/hepdata.58497.v1/t2;IsSupplementTo;False
10.1103/physrevc.92.034904;10.17182/hepdata.77275.v1/t6;IsSupplementTo;False
10.1007/jhep07(2012)167;10.17182/hepdata.59487.v1/t1;IsSupplementTo;False
10.1103/physrevc.86.014907;10.17182/hepdata.59488.v1/t187;IsSupplementTo;False
10.1016/0370-2693(68)90310-9;10.17182/hepdata.29204.v1/t1;IsSupplementTo;False
10.1103/physrevd.94.032003;10.17182/hepdata.61814.v1/t34;IsSupplementTo;False
10.1140/epjc/s10052-007-0220-z;10.17182/hepdata.45640.v1/t11;IsSupplementTo;False
10.1007/s100520100845;10.17182/hepdata.46710.v1/t1;IsSupplementTo;False
10.1007/bf01559717;10.17182/hepdata.15560.v1;IsSupplementTo;False
10.1016/j.nuclphysb.2007.06.022;10.17182/hepdata.45516.v1/t2;IsSupplementTo;False
10.1002/anie.201608530;10.25505/fiz.icsd.cc1y3pyp;IsSupplementTo;False
10.1007/jhep10(2014)141;10.17182/hepdata.65389.v1;IsSupplementTo;False
10.1140/epjc/s10052-009-1015-1;10.17182/hepdata.51622.v1/t1;IsSupplementTo;False
10.1103/physrevd.85.092002;10.17182/hepdata.39682.v1/t51;IsSupplementTo;False
10.1007/jhep07(2012)019;10.17182/hepdata.68040.v1/t8;IsSupplementTo;False
10.1103/physrevc.92.034903;10.17182/hepdata.68950.v1/t195;IsSupplementTo;False
10.1103/physrevc.92.034903;10.17182/hepdata.68950.v1/t211;IsSupplementTo;False
10.1103/physrevd.94.052009;10.17182/hepdata.74125.v1/t57;IsSupplementTo;False
10.1140/epjc/s10052-010-1240-7;10.17182/hepdata.56856.v1/t1;IsSupplementTo;False
10.1140/epjc/s10052-010-1240-7;10.17182/hepdata.56856.v1/t3;IsSupplementTo;False
10.1103/physrevd.90.012004;10.17182/hepdata.68152.v1/t4;IsSupplementTo;False
10.1103/physrevlett.116.172302;10.17182/hepdata.73192.v1/t15;IsSupplementTo;False
10.1016/j.physletb.2010.02.024;10.17182/hepdata.55370.v1/t12;IsSupplementTo;False
10.1140/epjc/s10052-014-2847-x;10.17182/hepdata.63972.v1/t38;IsSupplementTo;False
10.1103/physrevd.85.012001;10.17182/hepdata.58341.v1/t7;IsSupplementTo;False
10.1021/acs.cgd.4c00969;10.5517/ccdc.csd.cc2fl8jv;IsSupplementTo;False
10.1180/minmag.2012.076.5.12;10.25505/fiz.icsd.cc25jdrw;IsSupplementTo;False
10.1016/s0550-3213(99)00119-4;10.17182/hepdata.44123.v1/t2;IsSupplementTo;False
10.1002/cphc.201402600;10.5517/cc135k4z;IsSupplementTo;False
10.1007/bf01549077;10.17182/hepdata.15362.v1/t5;IsSupplementTo;False
10.1140/epjc/s2006-02616-5;10.17182/hepdata.45700.v1;IsSupplementTo;False
10.1016/s0370-2693(00)01085-6;10.17182/hepdata.49910.v1;IsSupplementTo;False
10.1140/epjc/s10052-009-1128-6;10.17182/hepdata.52425.v1/t28;IsSupplementTo;False
10.1103/physrevd.87.074029;10.17182/hepdata.62097.v1/t25;IsSupplementTo;False
10.1007/bf01555879;10.17182/hepdata.1897.v1/t8;IsSupplementTo;False
