Dataset_PID;Literature_PID;DataCite_RelationType_of_Dataset_PID_record;links_in_scholix;url_to_scholix
10.17182/hepdata.58899.v1/t1;10.1016/j.physletb.2012.05.015;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.58899.v1/t1&targetPid=10.1016/j.physletb.2012.05.015&relation=IsSupplementTo
10.17182/hepdata.62723.v1/t16;10.1007/jhep03(2014)013;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.62723.v1/t16&targetPid=10.1007/jhep03(2014)013&relation=IsSupplementTo
10.17182/hepdata.62723.v1/t29;10.1007/jhep03(2014)013;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.62723.v1/t29&targetPid=10.1007/jhep03(2014)013&relation=IsSupplementTo
10.17182/hepdata.25767.v1/t4;10.1103/physrevc.58.247;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.25767.v1/t4&targetPid=10.1103/physrevc.58.247&relation=IsSupplementTo
10.17182/hepdata.25767.v1/t6;10.1103/physrevc.58.247;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.25767.v1/t6&targetPid=10.1103/physrevc.58.247&relation=IsSupplementTo
10.17182/hepdata.58492.v1/t1;10.1103/physrevc.83.061902;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.58492.v1/t1&targetPid=10.1103/physrevc.83.061902&relation=IsSupplementTo
10.17182/hepdata.76981;10.1103/physrevd.93.011102;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.76981&targetPid=10.1103/physrevd.93.011102&relation=IsSupplementTo
10.17182/hepdata.142077;10.1103/physrevc.87.034904;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.142077&targetPid=10.1103/physrevc.87.034904&relation=IsSupplementTo
10.17182/hepdata.77284.v1/t21;10.1038/nphys4111;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.77284.v1/t21&targetPid=10.1038/nphys4111&relation=IsSupplementTo
10.17182/hepdata.72256.v1/t20;10.1103/physrevc.92.054908;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.72256.v1/t20&targetPid=10.1103/physrevc.92.054908&relation=IsSupplementTo
